EMOTION,TEXT,cleaned_text
joy,Passing an exam I did not expect to pass.,pass exam expect pass.
fear,"When I climbed up a tree to pick apples.  The angle of the ladder  
I was on did not enable me to get high enough.  This implied  
that the ladder was not very stable.",climb tree pick apples. angl ladder enabl get high enough. impli ladder stable.
guilt,When excuses are necessary and I get out of doing it myself.,excus necessari get myself.
joy,When I had my children.,children.
fear,"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down.",2 year old son climb sat 7th floor balconi leg hang out. hold tightli upper rail balconi could easili lost balanc sat down.
anger,When my partner was attacked and lost three teeth.,partner attack lost three teeth.
sadness,"When I see children on T.V from areas devastated by drought and  
war.",see children t.v area devast drought war.
disgust,When I nearly walked on a blindworm and then saw it crawl away.,nearli walk blindworm saw crawl away.
shame,"When I saw my 18 year old son grab an oxygen mask as he had  
breathing difficulties.  I had a bad conscience because I had not  
stopped smoking.  Medication for the dilation of his breathing  
tubes also caused a sense of guilt in me.",saw 18 year old son grab oxygen mask breath difficulties. bad conscienc stop smoking. medic dilat breath tube also caus sens guilt me.
guilt,"I experience a sense of guilt as my middle son cannot express  
himself like other children, neither verbally nor in writing.","experi sens guilt middl son cannot express like children, neither verbal writing."
joy,When my child was born.,child born.
fear,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head.","spring ice melting. far jetti poke ice long branch tri break it. branch went ice fell in, water close head."
anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ","unjust accus direct way acting, someon close me."
sadness,Failing an examination.,fail examination.
disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness.","drunkard fell, start bleed wet himself. disgust turn sadness-unpleasantness."
shame,"When, as an adult I have been caught lying or behaving badly.","when, adult caught lie behav badly."
guilt,"When I am in an environment or with a person much worse off than  
me, I realize how privileged I am.","environ person much wors me, realiz privileg am."
joy,When I saw a person I had not seen for a long time.,saw person seen long time.
fear,"When, as a child, I was nearly knocked down by a car.","when, child, nearli knock car."
anger,"When I heard on the radio that the football match in Belgium had  
ended in a catastrophe, and several people had died.  I could not  
 understand how normal people could behave in such a way.","heard radio footbal match belgium end catastrophe, sever peopl died. could understand normal peopl could behav way."
sadness,"When I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else.","feel lonely, perhap studi lot shut appartment. noth happen particular time anyth else."
disgust,"When one learns through the mass media all the wars and killing  
going on in the world.",one learn mass media war kill go world.
shame,"I lied, to be precise I cancelled a meeting with a good friend.","lied, precis cancel meet good friend."
guilt,When one lets friends down,one let friend
joy,When I was accepted for a course on finance and accounting.,accept cours financ accounting.
fear,"A bus drove over my right leg.  The event itself was not very  
frightening but when I had to wait in the emergency ward for  
three hours and then my leg began to swell, I was frightened.","bu drove right leg. event frighten wait emerg ward three hour leg began swell, frightened."
anger,"At my Summer job, nobody looked after me in particular and I had  
to learn all on my own.","summer job, nobodi look particular learn own."
sadness,When I was not accepted as a student in finance and accounting.,accept student financ accounting.
disgust,"When I had just moved into my new appartment I found a ventilator  
in the kitchen.  I was going to clean it when I found that the  
drum was full of mud and slime.  I felt disgusted.",move new appart found ventil kitchen. go clean found drum full mud slime. felt disgusted.
shame,"My elder brother and I have not always had a good relationship  
and I feel ashamed of myself as I do not call him to talk to him  
nowadays.",elder brother alway good relationship feel asham call talk nowadays.
guilt,"At my Summer job a new caretaker had been employed who was my age  
 but I preferred going out for lunch with the accounts personnel  
rather than with him.",summer job new caretak employ age prefer go lunch account personnel rather him.
joy,Passed an exam by 2 points.,pass exam 2 points.
fear,"In a cottage in a large forest, I was alone for a while in the  dark.","cottag larg forest, alon dark."
sadness,Railway station good-bye.,railway station good-bye.
disgust,"I saw a cripple in rags with small children in Italy.  He was  
probably an imposter.",saw crippl rag small children italy. probabl imposter.
shame,"I told a friend that I was going to a party and he would not  
enjoy himself if he came along.  He understood  that he would not  
have fitted in and there was something in that.",told friend go parti would enjoy came along. understood would fit someth that.
guilt,"I was the reason behind the break-up of my friend's relationship  
with his girlfriend.  She finished with him.",reason behind break-up friend' relationship girlfriend. finish him.
joy,I passed an exam that I was absolutely certain that I had failed.,pass exam absolut certain failed.
fear,"On the way back from Denmark with a friend on a small yatch,  
there was a storm and my friend was blown overboard;  I was very  
scared till I managed to get him back onboard.","way back denmark friend small yatch, storm friend blown overboard; scare till manag get back onboard."
anger,I locked myself out.,lock out.
sadness,I missed the last tram home and had to walk in the pouring rain.,miss last tram home walk pour rain.
disgust,I found some worms in the food and I had obviously eaten some.,found worm food obvious eaten some.
shame,"My friend was so intoxicated that the police came and took him  
away, and they later contacted his parents.","friend intox polic came took away, later contact parents."
guilt,I hapened to overhear something which I was not meant to hear.,hapen overhear someth meant hear.
joy,When I won a trip to Greece in a competition.,trip greec competition.
fear,"When I am out in the dark and a suspicious looking character  
comes towards me.",dark suspici look charact come toward me.
anger,"At work, when an elderly man complained unjustifiably about me and  
distrusted me.","work, elderli man complain unjustifi distrust me."
sadness,When I had not understood anything after a lecture.,understood anyth lecture.
disgust,When an alcoholic stood dribbling over a food counter.,alcohol stood dribbl food counter.
shame,"When my friend and I were discussing the good looks of a guy we  
realized that he had been listening.",friend discuss good look guy realiz listening.
guilt,"When I complained about a colleague to the manager and he told  
her that someone had complained; this colleague came to me  
believing that I liked her.",complain colleagu manag told someon complained; colleagu came believ like her.
joy,"At a friend's birthday party with some of my closest friends.  It  
was all very pleasant and one could say that I was happy to have  
such good friends.",friend' birthday parti closest friends. pleasant one could say happi good friends.
fear,"On the way home one Friday night in the heavy rain the car  
acquaplanned.  I lost contact with the road surface for a few  
seconds.",way home one friday night heavi rain car acquaplanned. lost contact road surfac seconds.
anger,Mad at my dad.,mad dad.
sadness,A case of unrequited love.,case unrequit love.
disgust,A bad smelling cucumber.,bad smell cucumber.
shame,Nearly caught masturbating.,nearli caught masturbating.
guilt,I do not help out enough at home.,help enough home.
joy,I felt very happy when I won the football pools.,felt happi footbal pools.
fear,"When I flew from Athens to Copenhagen after a holiday.  The plane  
was caught in a storm and it began to shake and I thouhght that  
we were going to crash.",flew athen copenhagen holiday. plane caught storm began shake thouhght go crash.
anger,When someone stole my bike.,someon stole bike.
sadness,"When I saw the list of books to read for an acccouting course, I  
thought "" Oh God how will I ever manaage it!""","saw list book read acccout course, thought "" oh god ever manaag it!"""
disgust,"It was when I read a newspaper article on the future and they  
foresaw that we would be eating frog-burgers by the year 2000.   
An illustration showed a frog between two pieces of bread.",read newspap articl futur foresaw would eat frog-burg year 2000. illustr show frog two piec bread.
shame,"When I dropped a bottle in the state liquor store and everyboby  
started laughing.",drop bottl state liquor store everybobi start laughing.
guilt,"When I was young - 14, I pinched from a store and was caught.   
The store then contacted my parents.","young - 14, pinch store caught. store contact parents."
joy,"When the whole family gets together for a one week holiday.   
Everybody feels free and the trip is well planned.  It works out  
well and we enjoy ourselves.",whole famili get togeth one week holiday. everybodi feel free trip well planned. work well enjoy ourselves.
fear,"When I could not find my 2 year old daughter.  I ran and looked  
for her everywhere and could not find her.  (I finally found her,  
she had gone to bed to sleep)","could find 2 year old daughter. ran look everywher could find her. (i final found her, gone bed sleep)"
anger,When friends try to put me down or hurt me.  ,friend tri put hurt me.
sadness,Marriage crises.  Boredom.,marriag crises. boredom.
disgust,When someone makes advances that one does not want.,someon make advanc one want.
shame,The discovery that one has only thought of oneself.,discoveri one thought oneself.
guilt,When I spanked a child in anger and later regretted it terribly.,spank child anger later regret terribly.
joy,When I passed the first examination that I had to repeat.,pass first examin repeat.
fear,"When I drove to Stockholm for the first time and drove off the  
Stora Hissingen road at the wrong exit.",drove stockholm first time drove stora hissingen road wrong exit.
anger,When my boyfriend went away for a month long holiday without me.,boyfriend went away month long holiday without me.
sadness,"Last year when I worked during the Summer holidays and studied  
at the same time for an examination I had to repeat; my boyfriend  
went to Greece for a holiday for a month.",last year work summer holiday studi time examin repeat; boyfriend went greec holiday month.
disgust,When a dog is left whining outside a shop.,dog left whine outsid shop.
shame,"When I promised to help a friend over a weekend and did not keep  
the promise.",promis help friend weekend keep promise.
guilt,When I realized that I had three more examinations to take.,realiz three examin take.
joy,"The day I was told that I had been accepted as a student of  
economics.",day told accept student economics.
fear,"While taking a short cut through the Vasa park, I was surrounded  
by three people who tried to steal my money.  I was scared and  
was saved only by the appearance of other people.","take short cut vasa park, surround three peopl tri steal money. scare save appear people."
anger,"At a restaurant I observed how the gypsies tried to get money by  
cheating the foreigners i.e non Swedish speaking.  My anger had  
nothing to do with hatred against foreigners, but it was an  
expression of the anger I feel when I see people being used .","restaur observ gypsi tri get money cheat foreign i.e non swedish speaking. anger noth hatr foreigners, express anger feel see peopl use ."
sadness,"At the begining of a new course one is afraid of encountering  
problems one can not manage.  Thoughts revolve around failing  
the subject and the consequences it would have for the future.",begin new cours one afraid encount problem one manage. thought revolv around fail subject consequ would future.
disgust,"While walking in town I noticed how the police harrassed a man  
who was under the influence of alcohol.  They terrified him with  
the thought of arrest by driving close behind him on a pedestrian  
street.  My disgust was directed at the gestures and the facial  
expressions of the policemen; they seemed to be enjoying  
themselves.",walk town notic polic harrass man influenc alcohol. terrifi thought arrest drive close behind pedestrian street. disgust direct gestur facial express policemen; seem enjoy themselves.
shame,"When my boyfriend revealed that he knew that I had discovered  
things of an important nature about him, I felt ashamed as I had  
not mentioned it earlier.","boyfriend reveal knew discov thing import natur him, felt asham mention earlier."
guilt,"When I am dishonest to a friend to whom I am very close.  I  
feel guilty because I know that he gives a different version of  
the truth and I have not corrected these mistakes, and he is  
aware that I know that they are wrong.","dishonest friend close. feel guilti know give differ version truth correct mistakes, awar know wrong."
joy,"When I found out that I had passed the last two exams by a  
margin of three marks.",found pass last two exam margin three marks.
fear,When my father was ill and was waiting for the results of his tests.,father ill wait result tests.
anger,"When I got caught in the pouring rain last Thursday and did not  
have a raincoat on me.",got caught pour rain last thursday raincoat me.
sadness,When I failed an exam.,fail exam.
shame,"When I had not prepared my contribution to the group as  
thoroughly as the other members, with the result that the  
overall result was poor.","prepar contribut group thoroughli members, result overal result poor."
guilt,"When my father and I worked on the house just after he had  
recovered from illness, I was rather lazy.  This meant that he  
had to work hard and was not very well later.","father work hous recov illness, rather lazy. meant work hard well later."
joy,"When I gave birth to my son and saw that he was alive and that I  
had managed it well.  He was born a month too early with a  
malfunctioning lung.  This happened a year ago.",gave birth son saw aliv manag well. born month earli malfunct lung. happen year ago.
fear,"When I found out that my father had lung cancer and they did not  
know how long he would live.",found father lung cancer know long would live.
anger,"When a colleague asked me for help at work, despite the fact  
that he had more time to do it than I had.","colleagu ask help work, despit fact time had."
sadness,"When I did not get the salary increase that I had been expecting  
and understood how little one's work was appreciated.",get salari increas expect understood littl one' work appreciated.
disgust,When I was weeding the garden I found a lizard in my hand.,weed garden found lizard hand.
shame,"When I met a friend whom I had not seen for a long time and  
heard all about her troubles, I thought that I should have got  
in touch with her earlier.","met friend seen long time heard troubles, thought got touch earlier."
guilt,"I got angry at my mother for something trivial.  We were in a  
bad mood because my father was very ill and I knew that my mother  
really needed support.  I had reacted wrongly.",got angri mother someth trivial. bad mood father ill knew mother realli need support. react wrongly.
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the  
steps outside her parents home and I kissed her for the  
first time.","new year' eve 1983/1984, met girlfriend. stood step outsid parent home kiss first time."
fear,"When I was stopped by plain clothes policemen because the car I  
was driving had overturned on the Avenue.  I had been driving too  
fast, and I was afraid when I was stopped, questionned and then  
toild to go.  The situation ended happily since there were no  
consequences.","stop plain cloth policemen car drive overturn avenue. drive fast, afraid stopped, question toild go. situat end happili sinc consequences."
anger,"The editor changed the heading of an article that I had written.   
He considered the heading to be derogatory towards the person I had written  
about.",editor chang head articl written. consid head derogatori toward person written about.
sadness,"A close acquaintance of the family died of lung cancer.   
Although it was expected, I still felt depressed.","close acquaint famili die lung cancer. although expected, still felt depressed."
disgust,"When I saw a picture, in the Gothenburg Post, of a totally  
demolished car with two fatally injured passengers.  The car was  
so badly damaged that they couldn't get the bodies out at the  
scene of the accident.","saw picture, gothenburg post, total demolish car two fatal injur passengers. car badli damag get bodi scene accident."
shame,"One night I had a sexual intercourse with another man.  My sexual  
desire and my curiosity had made me jump into bed with him.  I am  
ashamed of myself now.",one night sexual intercours anoth man. sexual desir curios made jump bed him. asham now.
guilt,"Due to laziness, I failed the term studies completely at  
University.  I also wanted, to some extent, to protest against my  
parents' expectations.","due laziness, fail term studi complet university. also wanted, extent, protest parents' expectations."
joy,When I got the loan for my studies.,got loan studies.
fear,"I met intoxicated people with dubious intentions in a back alley  
one Wednesday night.",met intox peopl dubiou intent back alley one wednesday night.
anger,"On the T.V I saw a news feature on South Africa.  A policeman       
attacked a group of black people with a whip.",t.v saw news featur south africa. policeman attack group black peopl whip.
sadness,"The thought of having to read a boring book of 400 pages in  
English.",thought read bore book 400 page english.
disgust,Grovelling people.,grovel people.
shame,My inability to assert myself positively in a group.,inabl assert posit group.
guilt,I experience feelings of guilt because I do not study enough.,experi feel guilt studi enough.
disgust,"Observing someone in the cafeteria noisily gulping in his food,  
having extremely bad manners.","observ someon cafeteria noisili gulp food, extrem bad manners."
shame,"I guess I have often been ashamed after having talked badly of  
other people.",guess often asham talk badli people.
guilt,Having been angry and unpleasant towards my parents.,angri unpleas toward parents.
joy,"When my sister - after a history of one abortion and one  
stillbirth - gave birth to a perfectly healty boy.",sister - histori one abort one stillbirth - gave birth perfectli healti boy.
fear,"When my sister had the still born child, she was emotionally very  
deep down, and it took her a long time to recover.","sister still born child, emot deep down, took long time recover."
anger,"We were starting a student project, and the teacher we talked to  
was very negative and not very helpful.","start student project, teacher talk neg helpful."
sadness,"When my boyfriend openly let me down, preferring another girl.","boyfriend openli let down, prefer anoth girl."
disgust,"I felt some disgust for my boyfriend for a time, after he had  
left me.","felt disgust boyfriend time, left me."
shame,Can't think of any.,can't think any.
guilt,"Before an accident, my aunt offered me the front seat of the car,  
next to the driver. I declined, she took that seat and was killed  
there when the car crashed.","accident, aunt offer front seat car, next driver. declined, took seat kill car crashed."
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a  
year.","unexpect visit close friend, seen half year."
fear,"I wandered by mistake into the safety zone of a shooting range,  
and was shot at.","wander mistak safeti zone shoot range, shot at."
anger,Being treated unfairly.,treat unfairly.
sadness,Breaking up with a girl.,break girl.
disgust,Nothing.,nothing.
shame,None.,none.
guilt,Little contact with my father before he died.,littl contact father died.
joy,"When I was accepted as a student at the college, not having  
thought it possible.","accept student college, thought possible."
fear,"When I was the first to arrive at the scene after an accident,  
and found that a close school friend had been killed.","first arriv scene accident, found close school friend killed."
anger,"I was accused of having done something, which I hadn't and got  
very angry.","accus done something, got angry."
sadness,When my grandmother died.,grandmoth died.
disgust,Not applicable.,applicable.
joy,"A couple of years ago during the summer holiday, I was fishing at  
a lake with my husband.  Suddenly it started raining while the  
sun was still shining. I experienced a feeling of joy, happiness  
and fulfillment.  the whole nature was full of music.","coupl year ago summer holiday, fish lake husband. suddenli start rain sun still shining. experienc feel joy, happi fulfillment. whole natur full music."
fear,"I was alone at home, in bed reading a womens' magazine in which  
there were storiees of paranormal experiences.  My leg was  
itching and I stretched my hand to scratch and I felt another  
strange hand. (later I realized that it was the corner of the  
blanket)","alon home, bed read womens' magazin storie paranorm experiences. leg itch stretch hand scratch felt anoth strang hand. (later realiz corner blanket)"
anger,"I went to a lecture and once again it had been cancelled, this  
was the second time.  One had a negative attitude towards the  
lecturer. 
","went lectur cancelled, second time. one neg attitud toward lecturer."
sadness,"I heard that a former superior of mine had died, I was later at  
home home reading about it in the newspaper and I thought of our  
interaction and how it was no longer possible.  The limited scope  
of human life is sad.","heard former superior mine died, later home home read newspap thought interact longer possible. limit scope human life sad."
disgust,"In the tram there was a fat, sickly looking woman in front of me  
who was asking for directions in a thick voice.  When she got up to  
go a disgusting smell of urine came from her.  I felt that I  
would choke.","tram fat, sickli look woman front ask direct thick voice. got go disgust smell urin came her. felt would choke."
shame,"When we were at home, my husband and I, he made a remark about  
something I had done, in a perfectly friendly manner.  My deed  
had been unjust and I knew that my husband was right, therefore my  
sense of shame.","home, husband i, made remark someth done, perfectli friendli manner. deed unjust knew husband right, therefor sens shame."
guilt,"I made a remark to my sister concerning her attitude to men, the  
way she talked and I compared her to an acquaintance of mine.   
Later, the same evening, my sister looked sad.  I felt guilty  
about her sadness.","made remark sister concern attitud men, way talk compar acquaint mine. later, evening, sister look sad. felt guilti sadness."
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on  
my birthday.","summer job sweden, boyfriend came meet birthday."
fear,"I went to practice in Sweden during summer, and I was afraid that  
I would not do well.","went practic sweden summer, afraid would well."
anger,"In the holiday cottage of our association, two of my pals came to  
wake me up early one morning by bringing a radio played at the  
highest volume into my room - it was the morning service at its  
loudest.","holiday cottag association, two pal came wake earli one morn bring radio play highest volum room - morn servic loudest."
sadness,My grandmother died suddenly last summer.,grandmoth die suddenli last summer.
disgust,"My superior at the summer job swindled customers as much as he  
could, and once put me in a difficult situation after which I  
could not but detest him.","superior summer job swindl custom much could, put difficult situat could detest him."
shame,"Once I arrived two hours late to my work place (a bank) and I was  
still feeling feeble and tired.",arriv two hour late work place (a bank) still feel feebl tired.
guilt,"Our association had Polish visitors and when they were going back  
by boat I did not go to see them off (I am the chairman of the  
association).",associ polish visitor go back boat go see (i chairman association).
joy,"I was told quite unexpectedly that one wanted me to become the  
vice-chairman of our student organisation.  I was really  
surprised and joy was the first emotion I felt, though behind it  
there was worry - how shall I succeed ?","told quit unexpectedli one want becom vice-chairman student organisation. realli surpris joy first emot felt, though behind worri - shall succeed ?"
fear,"Our tutorial group was soon to be divided, and we got a list of  
names of freshmen, out of which five were to be in my group.  We  
read the names and then each group went its own way to a seminar  
room.  I wondered how I would cope with the new situation and if  
I would succeed as a group leader.","tutori group soon divided, got list name freshmen, five group. read name group went way seminar room. wonder would cope new situat would succeed group leader."
anger,"We were in a disco and the evening was not at all pleasant.   
Despite my not knowing why, I was angry with my companion.  I let  
him feel my bad humour as I cannot hide my feelings.","disco even pleasant. despit know why, angri companion. let feel bad humour cannot hide feelings."
sadness,"My grandmother died, and my mother called me one sunday morning  
in the Autumn.  The way my mother told me about it, I hated her  
at that moment.  She sounded as if she had been waiting for the  
death of my grandmother.  I had lost a person close to me.  I  
felt guilty too as I had been bad to my grandmother of late.  I had not  
remained calm when she no longer understood everything so well.","grandmoth died, mother call one sunday morn autumn. way mother told it, hate moment. sound wait death grandmother. lost person close me. felt guilti bad grandmoth late. remain calm longer understood everyth well."
disgust,"At the underground station, a drunkard came to speak to me.  He  
tried to ask me something but I did not answer so he began to  
speak about me with his companion.  I detested this dirty  
growling man.","underground station, drunkard came speak me. tri ask someth answer began speak companion. detest dirti growl man."
shame,"I was worried by a task related to my studies which had to be  
done in groups of two.  I was talking about it to my friends when  
I said something negative, in too abrupt a manner, concerning my  
work partner.  I did not quite mean what I said and I felt  
ashamed at having been mean enough to criticize him as he is also  
a friend of mine.","worri task relat studi done group two. talk friend said someth negative, abrupt manner, concern work partner. quit mean said felt asham mean enough critic also friend mine."
guilt,"I had told my boyfriend that I did not want to go on with our  
relationship.  I knew that I was important to him but I wanted to  
be free.  I saw that this was difficult for him but I remained  
firm and did not change my mind.",told boyfriend want go relationship. knew import want free. saw difficult remain firm chang mind.
joy,"Last night I had a chat with a fellow student.  I had known her  
for about half a year, and for the first time we were speaking  
""the same language""- meaning an inspiring discussion and  
encounter.","last night chat fellow student. known half year, first time speak ""the language""- mean inspir discuss encounter."
anger,"[ I sometimes quarrel with my mother because she blames me,  
though I have not in any way been connected to some events.]","[ sometim quarrel mother blame me, though way connect events.]"
sadness,"After hearing about the death of my grandfather.  First I could  
not believe it, but later I wept and felt the situation was  
hopeless.  I felt lonely and wanted to be consolated.","hear death grandfather. first could believ it, later wept felt situat hopeless. felt lone want consolated."
disgust,"In the evening, while I was watching TV, my little brother came  
in and started eating food he had brought from the kitchen while  
I was trying to concentrate on the program.","evening, watch tv, littl brother came start eat food brought kitchen tri concentr program."
shame,"My little brother was arrested by the police at the railway station after  
he had drunk some beer.",littl brother arrest polic railway station drunk beer.
guilt,"At my temporary job, I have to restrict  others' actions and make  
them obey me, and this very often gives me  a feeling of guilt.  I  
wish there could be some other way of acting.","temporari job, restrict others' action make obey me, often give feel guilt. wish could way acting."
joy,"I met a dear friend of mine after a long time.  I expressed my feelings  
in our own usual way, by mutual scolding and abusing (with  
complete understanding) and by touching, patting and taking the  
hand of the other person, etc...","met dear friend mine long time. express feel usual way, mutual scold abus (with complet understanding) touching, pat take hand person, etc..."
fear,"I felt fear of the purest kind after a car accident.  The  
incident and images of horror kept coming back to my mind.  I  
wondered what could have happened to my sister, my friend and me,  
though nothing very serious actually happened.","felt fear purest kind car accident. incid imag horror kept come back mind. wonder could happen sister, friend me, though noth seriou actual happened."
anger,"Two boys whom I know were telling me, in an indecent manner, how  
they had teased a young and shy girl I know.  They had despised  
her conviction, scorned and touched her.  I got very angry and  
did not try to conceal it and gave it back to them.","two boy know tell me, indec manner, teas young shi girl know. despis conviction, scorn touch her. got angri tri conceal gave back them."
sadness,"My sweetheart left me, or rather we decided to break it off by  
mutual consent.  The consequences were - unrestrained weeping,  
feelings of loneliness, hopelessness and disconsolation.  I felt  
that I should find a friend, to talk to joyfully and to forget.","sweetheart left me, rather decid break mutual consent. consequ - unrestrain weeping, feel loneliness, hopeless disconsolation. felt find friend, talk joy forget."
disgust,"Out of sheer curiosity, I went to see a pornographic movie in  
Copenhagen.  The room was full of men, who panted and  
masturbated.  Very disgusting.","sheer curiosity, went see pornograph movi copenhagen. room full men, pant masturbated. disgusting."
shame,"After having quarelled unnecessarily and without any reason, and  
having been stupidly cross in every way.","quarel unnecessarili without reason, stupidli cross everi way."
guilt,Forced to fill in a questionnaire.,forc fill questionnaire.
joy,When I won a tennis match.,tenni match.
fear,When my dog ran out on thin ice last spring.,dog ran thin ice last spring.
anger,"When my tennis match was interrupted because a kid cycled right  
into the court.",tenni match interrupt kid cycl right court.
joy,"Celebrations on the graduation day with the orchestra playing in  
the garden ( I am a part of this orchestra).",celebr graduat day orchestra play garden ( part orchestra).
fear,Risk of being involved in a fight after a party.,risk involv fight party.
anger,"I had a very heavy work load and two colleagues, whom I have  
nothing against, disturbed me by ""terror ringing"", i.e  
continously interrupting me by telephoning.","heavi work load two colleagues, noth against, disturb ""terror ringing"", i.e contin interrupt telephoning."
sadness,After an exam which I failed.,exam failed.
shame,"When I overtook a car on the mainroad, misjudging the distance of  
an oncoming car and this resulted in tooting and flashing from  
the other driver (we could have collided), and I had an  
acquaintance in the car with me.","overtook car mainroad, misjudg distanc oncom car result toot flash driver (we could collided), acquaint car me."
guilt,"I saw a neighbour, from the same appartment block as me, lying     
on the road.  He could have been injured or ill.  I kept 20  
metres away and did not go to help him.","saw neighbour, appart block me, lie road. could injur ill. kept 20 metr away go help him."
joy,When I met an old schhol friend (school love).,met old schhol friend (school love).
fear,"When I was cycling to school, I nearly got knocked down by a car  
which (overtook me too closely) did not give me any swerving space.","cycl school, nearli got knock car (overtook closely) give swerv space."
anger,"When I was deputy manager during the Summer, certain deputies  
took liberties, more than what was normal.","deputi manag summer, certain deputi took liberties, normal."
sadness,"When I realized that my girlfriend, whom I like, and I were going  
to separate.","realiz girlfriend, like, go separate."
disgust,Dog dirt which thaws in the spring.,dog dirt thaw spring.
shame,When I forgot my mother's birthday.,forgot mother' birthday.
guilt,[ Can not think of anything just now.],[ think anyth now.]
joy,Passed the last exam.,pass last exam.
fear,Was nearly knocked down by a car.,nearli knock car.
anger,"I reached the bus stop and realized that I had forgotten my bus  
pass.",reach bu stop realiz forgotten bu pass.
sadness,"My current work load is too much.  The feeling comes back from  
time to time.",current work load much. feel come back time time.
joy,When my one year old son gives me a spontaneous kiss.,one year old son give spontan kiss.
fear,When someone close to me is travelling by car and is delayed.,someon close travel car delayed.
anger,When someone does something wrong which affects me negatively.,someon someth wrong affect negatively.
sadness,When I think about my parents getting old.,think parent get old.
guilt,"I do not have the time for other people's problems.  My  
mother-in-law is sometimes depressed and I do not have the time,  
the desire or the strength to help.","time people' problems. mother-in-law sometim depress time, desir strength help."
joy,"An ex-colleague asked me if I was interested in working in their  
accounts bureau.  They needed ""clever people"" and he had  
""immediately thought of me.""","ex-colleagu ask interest work account bureau. need ""clever people"" ""immedi thought me."""
fear,"I was driving and a deer suddenly appeared in front of the  
car when there was a lot of traffic behind me.",drive deer suddenli appear front car lot traffic behind me.
anger,I saw a report on T.V news on apartheid in South Africa. ,saw report t.v news apartheid south africa.
joy,When my girlfriend became pregnant.,girlfriend becam pregnant.
fear,When I nearly collided with another car.,nearli collid anoth car.
anger,The time when someone let the air out of the tyres of my cycle.,time someon let air tyre cycle.
sadness,When I read a lot and did not remember anything.,read lot rememb anything.
guilt,The time that I had to put my dog to sleep.,time put dog sleep.
sadness,Long illness.,long illness.
joy,When I passed an exam.,pass exam.
fear,"When I was travelling by tram, I tripped and fell against the  
door.  I thought that I was going to fall out.","travel tram, trip fell door. thought go fall out."
anger,When I missed the tram after having run for it.,miss tram run it.
